#{"t_start": 1780009368.3415194, "env_id": "None"}
r,l,t
-203.607653,95,13.064082
-140.643212,15,16.45516
-820.068557,204,40.573895
-1048.136254,275,72.669748
-271.852247,195,95.906775
-7253.568799,2129,331.958646
-166.883101,31,336.927863
-604.943282,135,353.405535
-275.75905,35,358.78218
-335.35137,77,368.818967
-134.596944,12,371.712897
-193.107822,19,375.362152
-138.132852,12,378.24718
-153.485349,15,381.440408
-163.034993,13,384.424944
-1824.929564,520,443.548399
-1103.487042,358,484.738582
43.305825,154,503.218813
-152.739916,13,506.19498
-244.242306,158,525.162832
-4179.38976,1001,637.912225
-582.542802,143,655.368397
-118.38116,12,658.248574
104.445171,92,669.973516
-161.246002,100,681.098718
-105.095773,1,682.75928
-173.61066,20,686.506547
-128.066694,15,689.733505
-186.114212,44,696.177495
-103.687424,1,697.830548
-135.60051,19,701.471457
-104.095006,1,703.12933
-241.518951,56,710.93054
-172.765625,14,714.009482
-2774.13642,887,813.950969
-104.09472,1,815.612872
-378.574749,354,856.28367
-147.440302,19,859.935477
-516.538931,309,895.630698
-253.876154,426,944.462209
96.317901,110,956.673171
-393.915774,406,1001.480772
-38.485062,234,1028.841478
-150.358943,165,1047.119238
-48.499396,224,1073.325756
-213.976024,197,1095.172704
-78.973777,70,1104.402321
-143.736387,16,1107.717896
-160.19254,14,1110.807675
-102.123558,1,1112.46252
-85.049713,112,1126.385302
-245.475726,135,1142.820823
-106.957936,2,1144.603945
-178.563375,67,1153.617998
-146.930677,14,1156.728397
-275.177089,153,1175.291456
-105.091041,1,1176.960855
-273.915895,156,1195.79066
-166.465496,33,1200.985565
-429.901844,218,1226.761656
-155.772785,14,1229.853695
-252.393316,47,1236.648985
-24.173923,147,1254.509573
-120.507547,54,1260.557779
12.9491,225,1287.083365
100.81052,131,1301.637583
-265.095959,152,1318.60383
-246.112336,39,1324.479246
-337.930503,254,1354.116342
-150.361447,18,1357.67582
-100.636597,14,1360.758542
-428.649111,168,1380.976498
-252.904348,238,1408.898972
2.955118,139,1425.775906
183.521747,13,1427.245979
-139.44736,43,1432.069416
-105.108707,12,1434.957909
-103.557551,1,1436.623885
-155.87859,19,1440.258916
-124.748487,10,1442.898609
-152.960497,20,1446.677506
-109.301723,13,1449.638664
-211.535428,26,1454.048007
-153.369535,22,1458.027122
-211.210372,67,1466.957898
-522.545046,96,1479.105159
-251.890788,53,1486.509237
-154.412063,22,1490.482173
-153.450802,15,1493.682317
-135.764438,9,1496.207401
-134.466654,15,1499.410044
-231.620543,38,1505.167135
95.785394,126,1520.681359
13.435592,121,1534.153336
-182.811651,63,1541.145189
-200.346985,25,1545.456903
-229.254873,203,1569.496894
-190.844968,18,1573.05474
110.658304,177,1594.162917
-213.65551,62,1601.032029
24.565364,118,1615.626983
-103.472729,1,1617.283021
190.154393,63,1625.857383
-119.557952,15,1627.578937
-122.030591,11,1630.3388
-118.040368,9,1632.871451
-101.054673,17,1636.2929
-109.747911,2,1638.060583
242.528012,101,1650.798201
-97.46461,111,1663.123525
-103.832855,1,1664.785326
-339.632333,61,1673.067282
-178.6184,70,1682.328842
85.230039,239,1710.183636
-366.584254,290,1742.156992
-312.194923,86,1753.154436
-154.524963,22,1757.134928
-267.207175,64,1765.737707
-145.258601,170,1785.971034
-104.16703,197,1809.317259
-332.748028,52,1816.599215
-150.324196,16,1819.918425
-695.490272,223,1845.937106
-182.496605,259,1875.991503
-263.601912,64,1883.084601
-135.878609,10,1885.740545
-187.367405,18,1889.298599
19.865699,205,1913.498581
-175.665901,13,1915.007974
-137.982748,10,1917.647629
-16.351562,142,1934.865368
-242.675046,179,1956.193881
-274.390983,27,1960.729325
-149.407543,12,1963.600235
-101.055581,1,1965.26057
-93.084912,152,1983.562634
-284.400718,170,2003.818602
-136.208168,14,2006.906662
-105.234927,1,2008.557742
-322.427109,38,2014.275305
-105.146988,1,2015.929353
52.909005,222,2041.951745
-311.122111,88,2051.688343
-128.926181,15,2054.874692
-151.451647,17,2058.297009
-102.746096,1,2059.946473
-136.731014,17,2063.373072
-104.360064,1,2065.03954
-142.6166,29,2069.777452
-101.015184,1,2071.437676
-1452.446592,275,2103.355617
-388.288223,179,2124.621966
-1744.563674,373,2167.310349
-480.392303,299,2201.869818
-879.873239,161,2221.224269
-230.325838,21,2225.087519
-104.124757,1,2226.748492
-1347.85642,243,2255.049802
-979.7792,260,2285.237389
-156.108354,19,2288.879821
-143.977603,39,2294.721614
-137.817085,24,2298.923295
-142.36328,9,2301.482455
-165.13765,14,2304.574191
-350.130925,154,2323.05596
-138.263943,29,2327.797609
-103.919707,1,2329.456441
-159.398677,34,2334.722899
-113.749756,18,2338.245038
-105.298834,1,2339.905303
-264.420381,104,2352.914575
-160.537696,17,2356.332954
-111.249209,13,2359.296878
-102.634723,1,2360.953739
-157.069251,17,2364.370862
-104.194698,1,2366.033336
-136.998881,28,2370.652427
-105.133182,41,2376.751281
-177.71555,49,2383.687546
-135.911289,14,2386.776333
-112.178483,13,2389.760023
-736.426375,124,2404.966318
-213.710487,21,2408.822992
-356.858902,48,2415.689398
-169.971367,12,2418.579054
-214.417461,27,2423.134583
-123.26252,57,2430.971973
-104.056982,1,2432.631756
-144.400755,48,2439.495392
-102.051562,1,2441.153965
-553.880062,76,2451.076333
-109.174181,3,2452.946229
-560.509407,78,2463.10273
-103.21409,2,2464.860074
-192.680765,70,2474.133957
-103.041431,1,2475.787459
-209.809427,46,2482.386894
-102.702355,1,2484.047972
-905.172296,151,2502.231601
-249.387279,22,2506.200172
-395.353596,49,2513.152422
-105.544834,1,2514.81736
-183.886229,65,2523.574837
-105.93741,2,2525.344796
-154.430151,23,2529.424731
-561.826355,96,2541.503103
-256.660365,30,2546.371811
-188.786268,16,2549.67429
177.862319,67,2558.628152
-969.012392,273,2588.779877
-393.151322,197,2612.042931
-209.800149,46,2617.142264
-355.438203,376,2660.204816
-103.055852,1,2661.86531
-138.236374,28,2666.502451
-102.467394,1,2668.156939
120.922525,47,2674.8585
-372.010954,62,2681.738222
-6164.017299,5262,3263.436735
-381.599709,164,3283.089696
-430.510932,179,3304.374511
-1620.163869,266,3335.233874
-128.046287,10,3337.887916
-389.634887,166,3357.745322
-492.102556,165,3377.459754
158.186824,83,3388.161304
191.820458,50,3393.70732
-119.373591,151,3410.382412
-103.462893,1,3412.042967
-533.416099,144,3429.493448
-779.41688,215,3454.768326
-130.365762,13,3457.766043
-104.443892,1,3459.43168
-369.693493,97,3471.686021
-101.645911,1,3473.351471
-132.948493,23,3477.424142
-103.249546,1,3479.08576
-274.221808,87,3490.23184
-121.780964,17,3493.645595
-177.902365,17,3497.073824
-1339.516973,425,3545.403207
-335.321971,129,3561.207935
-131.675982,13,3564.212414
-102.966886,1,3565.88381
