#{"t_start": 1780352783.8458261, "env_id": "None"}
r,l,t
-18.253251,77,9.26232
-55.056798,3,12.49503
-49.181694,1,15.557252
-57.774282,6,19.146287
-137.688003,43,27.082602
-560.114281,250,57.926825
-500.187506,250,85.916169
-33.052852,179,105.873321
-60.300212,121,119.447173
-237.319581,111,134.745814
-96.068664,138,153.026007
-134.792402,22,158.405546
-89.175195,9,162.320987
-51.01712,1,165.340487
-51.679092,1,168.358035
-85.865287,22,173.715963
-156.363813,175,196.202395
-155.891691,250,226.904054
-91.880625,61,233.838309
-252.870027,250,264.756784
-40.898188,240,291.628338
-83.300536,116,304.628887
-53.971371,1,307.664907
-109.336051,16,312.405162
-58.91933,3,315.660554
-117.421319,20,320.761005
-254.00816,115,336.608545
-205.211317,72,347.614548
-56.400852,3,350.886332
-76.780473,8,354.673229
-108.403506,16,359.372482
-50.914112,1,362.402197
-33.285272,10,366.415359
-52.57123,15,371.01676
-394.664275,177,393.793147
-65.201982,6,397.400118
-49.736927,1,400.420118
-50.120667,1,403.457603
-50.202801,1,406.473394
199.081757,1,409.477823
-52.352847,5,410.094334
-575.80702,250,441.115738
-87.204748,15,442.825197
-71.800443,23,448.340021
-72.998175,22,453.687861
-54.393036,1,456.773984
-51.006279,1,459.814922
-51.389313,1,462.875454
-102.957151,68,473.567135
-49.778797,1,476.605543
-50.235527,1,479.635428
-52.738178,1,482.683761
-50.342812,1,485.728948
-50.999363,1,488.748831
-76.692537,26,494.569475
-87.022096,9,498.506199
-88.985558,14,502.996523
-73.466903,6,506.588988
-106.552903,16,511.301437
-54.223137,1,514.352446
-53.359081,1,517.36527
-105.585754,14,521.860753
-52.771049,1,524.872473
-51.209694,1,527.904697
-23.356671,250,558.662456
-370.749886,250,586.545216
-79.537351,7,587.386293
-45.992492,6,590.962382
-240.676954,250,621.657434
-90.389187,17,623.609367
-480.059285,250,654.420315
-192.242882,207,677.574768
-53.751068,1,680.604151
-49.43717,2,683.759015
-34.341897,18,688.661368
-54.695633,1,691.687324
-69.34965,14,696.176381
-268.37085,128,713.372017
-53.048199,1,716.389494
-205.510272,77,727.873601
-38.035816,11,732.038272
-52.44627,1,735.060968
-202.178087,57,744.274205
-195.327138,136,762.357496
-49.674061,1,765.390495
-68.76756,13,769.727547
-329.341669,205,795.455864
-73.343502,14,799.912972
-5.587908,117,815.863507
-30.612873,198,840.853536
191.298529,102,855.099968
-79.164104,97,865.90835
-54.536417,17,870.719452
-77.935841,11,874.859712
-51.444981,1,877.891184
14.50057,166,899.310363
-52.766243,1,902.348059
-20.498457,135,920.28514
81.750297,185,943.73207
-49.731281,1,946.762141
-53.366199,1,949.811269
-48.670521,1,952.840118
-166.822158,37,959.900758
-52.107544,1,962.925029
-83.044424,12,967.15469
-133.565317,40,974.574206
-64.241582,15,979.139143
-442.149295,250,1009.84859
59.808595,152,1026.742026
-155.99413,37,1033.791297
-49.793552,1,1036.826235
-51.476017,1,1039.84798
-50.502106,1,1042.86851
-54.947642,6,1046.440147
-21.762016,170,1068.319059
-133.163421,49,1076.69639
-44.711489,7,1080.401118
229.179132,250,1111.09466
12.675712,76,1119.586216
-102.98401,19,1124.580592
-169.712696,96,1138.087988
327.439737,157,1158.425047
210.439636,59,1165.031826
-127.719663,20,1167.340394
-52.268528,1,1170.358438
68.501122,90,1183.240056
-95.307837,13,1187.628034
-53.39484,1,1190.648209
-49.750988,1,1193.67607
-53.665211,1,1196.705824
-49.827892,1,1199.767917
36.255044,226,1227.792066
-179.534114,83,1237.076774
-49.79884,3,1240.374551
-52.648035,2,1243.509965
-74.62387,8,1247.319248
-50.295582,1,1250.335172
84.243916,117,1266.237277
-83.352164,81,1275.222916
-72.300461,19,1280.247528
227.517393,164,1301.308276
-17.748896,116,1314.312329
-308.072243,117,1330.255524
-52.211246,1,1333.262455
-142.979325,102,1347.517016
-22.49943,127,1364.546385
-20.899905,98,1378.350369
-56.515639,7,1382.043458
-70.214144,20,1387.167548
-51.623039,1,1390.222617
-47.420925,1,1393.27025
-53.250374,1,1396.280458
-487.22133,192,1420.613323
-47.968441,1,1423.641528
-51.303642,1,1426.691113
-50.404099,1,1429.701787
-51.824024,1,1432.733266
-266.558193,250,1463.436198
-77.818681,52,1469.247613
-53.312366,1,1472.275134
-87.605865,12,1476.514033
-67.679663,10,1480.554404
-50.582733,1,1483.602309
-54.494385,1,1486.612114
-51.979179,1,1489.620983
-52.656254,1,1492.667362
-106.73472,16,1497.356872
-261.629277,250,1528.037414
-69.636706,21,1530.436683
-218.631192,84,1542.64082
-50.887936,1,1545.67762
-119.20636,29,1551.815381
-50.863029,1,1554.877545
-51.422871,1,1557.928098
-80.48103,13,1562.272184
-74.002085,32,1568.755369
-58.099913,2,1571.904082
-96.729557,14,1576.360467
-72.137108,6,1579.968528
-80.55388,21,1585.219856
-54.461372,1,1588.237977
287.36387,82,1600.223603
-149.444998,104,1611.865395
61.370884,221,1639.330217
-181.815552,139,1657.700206
-56.817122,2,1660.847792
-124.744903,23,1666.333623
-50.323368,1,1669.34335
-60.426981,18,1674.226173
-59.956224,16,1678.943512
-51.326969,1,1681.973475
-77.092373,18,1686.897384
-51.240997,1,1689.910481
-50.068432,1,1692.937252
-51.092102,1,1696.009814
-53.318939,1,1699.020271
-32.864944,21,1704.308597
-54.437508,1,1707.30994
-50.44342,3,1710.529101
-49.952042,1,1713.551193
-50.356148,1,1716.587493
-50.201408,1,1719.626944
-53.198147,1,1722.652896
-49.780842,1,1725.690664
-54.098347,1,1728.720928
-49.605713,1,1731.75405
-50.700558,1,1734.783213
-50.100224,1,1737.806315
-50.214026,3,1741.062062
-49.690968,1,1744.102187
-51.086533,1,1747.135374
-51.656403,1,1750.141634
-51.633766,1,1753.191472
-49.990429,1,1756.210362
-50.02597,1,1759.2555
-49.756855,1,1762.285385
-51.821766,1,1765.320805
-72.089688,13,1769.653811
-108.250701,19,1774.719518
-49.677414,1,1777.738702
-51.578373,1,1780.752665
-50.889587,1,1783.780082
-43.826967,18,1788.704743
-65.999284,5,1792.171891
-204.188079,89,1804.982485
-154.245587,114,1820.587557
-49.743542,1,1823.628378
-51.094467,1,1826.651326
-49.916,1,1829.686987
-53.795513,1,1832.696758
-111.053383,20,1837.832512
-115.445511,28,1843.860539
-53.239574,1,1846.897017
-52.551044,1,1849.927524
-53.257305,1,1852.944988
-58.367549,10,1856.984057
-106.272395,19,1862.050737
-44.906803,17,1866.876723
-50.113316,1,1869.908931
-50.808296,1,1872.931873
-50.168118,1,1875.953438
-53.589095,2,1879.086513
-50.382168,1,1882.13061
-54.53381,1,1885.158951
-50.984547,1,1888.208822
-49.649147,1,1891.259087
-63.193971,20,1896.395363
-47.348664,7,1900.095947
-83.812105,11,1904.24651
-49.979603,1,1907.29389
-52.405941,1,1910.305899
-80.66573,19,1915.413833
-50.276943,1,1918.465035
-50.235367,1,1921.51407
-63.028324,16,1926.28197
-51.402267,1,1929.335113
-54.561184,1,1932.3472
-49.946587,1,1935.39649
-51.726078,1,1938.42656
-86.125656,20,1943.53966
-52.265577,14,1948.012882
-157.550014,36,1954.937272
-54.187276,6,1958.54172
-50.886462,3,1961.792399
-51.542194,1,1964.834029
-50.574295,1,1967.888324
221.296187,141,1986.493606
-67.993865,36,1990.565529
-41.208711,15,1995.17023
70.05353,250,2025.846807
-81.461346,15,2027.591839
-77.189301,7,2031.276762
-52.678333,8,2035.081138
-52.772297,1,2038.078586
-54.417042,1,2041.106336
-51.901875,1,2044.148457
-117.152627,21,2049.394234
-55.202211,4,2052.732518
-3.372025,104,2067.252868
-93.664048,19,2072.273247
81.020789,205,2097.962109
222.760196,195,2119.63324
-153.500343,43,2124.445169
-82.132708,52,2133.124639
-49.033276,151,2152.927745
-68.36301,9,2156.821905
-51.198105,1,2159.871507
63.790757,85,2172.208196
-13.473171,46,2180.240713
-275.36214,138,2198.477877
-50.266872,1,2201.500464
-52.818993,1,2204.552204
-51.239124,1,2207.577384
-54.183193,1,2210.611473
-54.335449,1,2213.659184
-52.851608,1,2216.692551
-40.177745,50,2225.158707
-50.314072,1,2228.196891
-51.915865,3,2231.42032
-50.314648,1,2234.461375
-50.982361,1,2237.466921
-52.537277,1,2240.498457
-52.226111,3,2243.745753
-50.337902,1,2246.770818
-88.849151,65,2256.916579
171.138634,250,2287.7322
