#{"t_start": 1780426186.3061235, "env_id": "None"}
r,l,t
-64.724873,70,9.077172
-131.691899,19,14.021227
-51.904479,32,20.812868
-53.493614,1,23.843651
-55.197312,30,30.155641
-386.887193,159,50.82138
-87.858601,21,56.06334
-54.195274,1,59.092726
-52.729324,1,62.121771
-52.779087,1,65.177068
-53.622887,1,68.209971
-50.554523,1,71.251213
-52.799843,1,74.303027
-54.177082,1,77.329589
-52.029953,1,80.359558
-54.195904,1,83.407211
-22.852086,16,88.122196
-175.664111,31,94.52572
-215.788762,60,104.181097
-51.006973,1,107.205871
-53.137959,1,110.254459
-493.610566,250,141.122907
-521.589065,250,169.148124
-738.037284,250,197.164675
-169.903088,175,216.687954
-365.479343,250,247.333672
-428.60408,250,275.131899
-173.383705,250,302.966749
567.463852,137,318.156362
-22.226575,89,328.10824
-51.017937,1,331.147567
-568.05695,250,361.765554
192.951685,250,389.515692
-688.294369,250,417.32422
-387.884645,138,432.650798
-56.877078,2,435.782183
-467.948768,250,466.497208
-63.865435,8,467.44865
-53.764725,1,470.47863
45.599009,122,486.858206
-52.095215,1,489.871881
-50.031395,1,492.879867
444.83293,109,507.892308
119.484222,250,535.839475
299.526687,96,546.643511
-107.3027,18,551.551374
-68.91591,27,557.469829
-131.736938,25,563.148146
-40.94865,20,568.281426
-48.269402,1,571.317882
191.294469,90,584.246442
180.520086,103,598.59843
-53.380398,1,601.646613
195.062903,116,617.458005
-39.574315,5,620.983604
-218.419342,60,630.528585
-237.067587,60,640.103835
608.171858,250,670.887614
216.398789,155,688.169526
416.348487,158,705.822065
349.693671,83,717.96558
-18.501021,79,726.760788
-51.942345,1,729.808275
-60.198799,29,735.935561
-108.188403,24,741.509103
8.410854,43,749.206565
-51.037636,1,752.252741
-50.218494,1,755.310187
-49.960648,1,758.332899
-51.801567,1,761.371995
-51.872021,1,764.43537
-53.76873,1,767.483649
-49.81776,1,770.518522
13.869553,161,791.381634
193.65792,250,819.278033
-236.004124,236,845.636159
-53.548115,1,848.684359
-80.836261,9,852.595779
-122.133039,21,857.822374
330.641629,198,882.679576
-117.454395,39,889.939396
-50.076466,1,892.964251
-49.981052,1,895.981157
48.011263,46,904.027213
-105.272684,24,909.641547
-116.10185,19,914.682083
-81.478239,18,919.572359
-149.670153,32,926.047948
180.545978,125,942.770512
158.922037,163,963.751693
-182.116275,250,994.341522
-531.842271,250,1022.149084
109.130857,158,1039.684577
-198.261213,131,1054.264295
178.82058,250,1084.878027
-535.92205,250,1112.759593
-160.069755,163,1130.934468
-64.823549,4,1134.315671
-52.767921,26,1140.135037
-165.194419,250,1170.716569
-486.03538,250,1198.272154
-509.394115,250,1225.890595
-86.780563,9,1226.92842
-51.074879,24,1232.486756
-50.212546,16,1237.149375
276.670599,96,1250.674114
-47.44651,31,1254.144769
-95.631168,33,1260.712985
-51.278862,1,1263.767496
-44.071133,37,1270.753443
-74.061734,102,1284.953694
-53.9217,1,1288.004616
106.175836,250,1318.711468
-614.682377,250,1346.52264
160.43122,115,1359.293533
-79.356316,18,1364.215372
-52.862938,1,1367.234478
-28.789772,250,1397.940758
-883.765131,250,1425.665112
-110.128342,250,1453.439178
-137.25808,29,1456.722672
-172.933211,53,1465.494422
167.734008,107,1480.282604
1.982589,250,1510.980618
-55.062895,80,1519.882279
151.367818,59,1529.350348
-178.780304,221,1556.743387
-50.383293,1,1559.803396
-51.66745,1,1562.856881
-50.069859,1,1565.885732
-49.379782,22,1571.260419
355.695632,116,1587.038731
-159.917703,60,1593.682315
-50.752167,1,1596.707797
-50.575737,1,1599.755592
62.340106,91,1612.778178
-53.916492,1,1615.793539
-53.025993,1,1618.82751
-54.204937,1,1621.874301
-51.88641,1,1624.910759
100.822195,89,1637.679681
-73.585041,12,1641.939726
-50.904636,1,1644.984369
-53.919632,1,1648.03611
-50.916893,1,1651.072858
63.367869,115,1666.61264
-50.220718,1,1669.626185
13.420795,79,1681.242068
-50.65855,1,1684.297653
-52.791286,1,1687.311471
-50.551086,1,1690.35306
-51.784214,1,1693.40377
-52.94327,8,1697.198576
102.988908,88,1709.785032
36.863406,99,1723.58738
-117.550524,28,1729.574263
-55.341236,11,1733.693362
-67.099239,13,1738.052421
22.701259,95,1751.38436
37.321398,109,1766.261406
184.111529,97,1779.858876
-53.675491,1,1782.918068
-51.655663,1,1785.965667
-51.756187,1,1788.976488
-52.517807,1,1792.022904
-1.400943,250,1822.435666
-67.169052,23,1825.003784
98.891318,148,1844.168237
-156.731515,26,1849.93937
125.757478,168,1871.363369
-53.590424,1,1874.420406
-67.181516,4,1877.789533
-54.249191,1,1880.839663
-52.067871,1,1883.859014
-822.627342,250,1914.279024
402.5345,156,1931.458158
140.598915,242,1958.132197
-58.177717,5,1961.591593
-53.304646,1,1964.63468
-53.112919,1,1967.655496
542.069457,250,1998.117638
-102.980389,26,2001.041077
-54.111485,1,2004.094851
-52.656113,1,2007.123222
-53.049931,1,2010.159604
-54.33017,1,2013.212467
-53.478756,1,2016.262527
-50.20599,1,2019.316809
-52.807808,1,2022.347823
-53.895199,1,2025.372436
-151.492474,20,2030.489155
-49.814556,1,2033.511457
606.083408,236,2062.378897
310.773162,243,2089.194881
581.925348,190,2112.993789
217.526024,27,2116.03822
-72.639139,60,2122.701676
-53.45195,1,2125.752335
-44.935072,4,2129.130451
58.786672,77,2140.519973
154.997376,63,2150.400171
-84.9463,71,2158.278152
-117.303971,28,2164.2687
-82.160436,18,2169.171533
-40.153288,4,2172.539563
491.461302,144,2191.363633
-80.949333,10,2192.534178
-144.746989,23,2197.99403
458.321328,250,2228.398644
-125.186698,68,2235.936545
-152.997612,105,2250.393456
290.850987,82,2262.370139
135.733818,133,2277.071875
-113.55561,23,2282.548205
-53.239147,1,2285.60177
577.921752,250,2316.013481
-81.678825,12,2317.408121
-97.270581,14,2321.875241
-139.048355,18,2326.783173
-52.851192,1,2329.802572
-53.434109,1,2332.855505
-51.308929,1,2335.882786
-53.470619,1,2338.949258
-50.801994,1,2341.976478
-53.376713,1,2344.996934
-50.683331,1,2348.024197
-52.658108,1,2351.048964
-54.679405,1,2354.092782
-52.418278,1,2357.125461
-53.383564,1,2360.147089
-53.26339,1,2363.169439
-51.54203,1,2366.190646
-53.146984,1,2369.229659
-51.165874,1,2372.294747
269.671146,193,2396.470615
-107.115721,19,2401.473527
-362.276154,111,2416.553538
82.24665,203,2441.772905
-97.493032,16,2446.48922
-52.113079,1,2449.507967
-54.589752,1,2452.542953
557.018242,250,2482.965127
-99.337566,10,2484.134331
-52.515869,1,2487.142027
-53.387363,1,2490.180051
-57.750326,3,2493.456239
-53.881351,1,2496.500329
-53.961739,1,2499.510463
-52.783937,3,2502.760527
-54.05471,1,2505.818383
-51.704689,1,2508.850395
-53.022865,1,2511.894323
-51.121269,1,2514.927438
-52.674824,1,2517.945105
-53.904125,3,2521.22479
242.205073,181,2544.08077
-50.585388,1,2547.100438
326.613259,73,2558.072607
-138.15461,17,2560.031734
-62.847539,128,2577.084623
16.318294,80,2588.802201
-52.275829,1,2591.858731
-53.351429,1,2594.910409
-53.688747,1,2597.914844
-53.792397,1,2600.960049
-53.277794,1,2603.989178
-52.321594,1,2607.00062
-171.274279,36,2613.900106
-42.187834,8,2617.69444
717.164891,176,2640.020457
17.457784,175,2659.324225
