#{"t_start": 1780441073.3138206, "env_id": "None"}
r,l,t
-367.814998,250,31.231855
-342.216435,250,59.148137
-466.667134,250,87.094646
-212.01209,166,105.699955
-52.370755,5,109.148196
-429.710671,250,139.889804
-397.693775,250,167.653037
-86.229968,138,183.022115
-47.055574,3,186.260298
-129.024266,24,191.821817
-93.730657,13,196.176696
-51.278519,1,199.218331
-52.810974,1,202.26081
34.308372,190,226.294074
-95.829835,14,230.785783
15.001226,168,252.345045
32.179472,250,282.966763
-166.456423,69,290.647626
19.248028,144,309.547983
-80.4192,10,313.56752
-53.733337,1,316.582663
-53.960236,1,319.628835
-53.86816,1,322.693479
-50.807751,1,325.721984
-54.021477,1,328.755037
-51.274128,1,331.758632
-67.47099,24,337.310075
-53.727489,1,340.320823
-136.168029,33,346.901508
-71.968199,44,354.640056
-75.150245,20,359.821665
-53.833424,1,362.843143
-48.15832,4,366.219937
-596.315543,250,396.874709
-283.442003,250,424.689828
-225.928823,109,436.796855
-53.878326,1,439.852587
-53.491081,1,442.894914
-53.661869,1,445.93037
237.59619,250,476.390763
264.233546,250,503.970526
121.399471,243,530.774832
-105.931259,20,535.894591
-50.246464,1,538.905911
-54.075325,1,541.935314
-54.11644,1,544.981265
-103.288041,44,552.832154
352.555754,250,583.299879
-184.161752,60,589.964746
229.878634,115,605.50525
207.592642,250,633.131336
174.356014,226,658.077377
-91.530977,179,680.767896
-49.776581,1,683.806936
-47.906338,1,686.821037
-48.287598,1,689.850224
-48.098808,1,692.87959
-51.220291,1,695.890691
-66.043347,20,701.015364
-50.987904,1,704.039056
-66.114392,10,708.032796
-51.285049,1,711.074442
150.986256,250,741.514266
-591.21342,250,769.081613
147.021184,250,796.641522
156.304399,250,824.208102
278.916718,90,834.172879
193.08668,88,843.95116
-48.479031,1,846.975593
282.264542,48,855.151131
-186.465554,250,882.792617
-129.80342,34,886.601812
-67.084853,6,890.178723
-41.522139,15,894.754104
-51.45623,1,897.794583
-52.318245,1,900.823765
-50.693085,1,903.849401
-53.197887,1,906.875835
-52.520233,1,909.924618
-81.254528,8,913.740184
-63.548978,7,917.420093
563.079997,170,939.085824
-154.401826,250,966.72008
-251.79114,64,973.873202
-172.654598,35,980.669376
-58.167893,3,983.930411
490.744004,250,1014.298811
-55.375371,13,1015.786399
200.386563,104,1030.189884
-53.595772,1,1033.231216
-80.051594,20,1038.34812
-50.6222,1,1041.372729
196.584061,1,1044.39987
-53.046998,2,1044.68124
-56.786724,2,1047.798436
-88.21489,250,1078.536092
-452.562264,250,1106.371171
-384.03784,250,1134.322111
-374.064026,250,1162.160052
-81.20322,10,1163.314493
-52.505154,1,1166.340109
145.107504,196,1190.997997
-61.888718,12,1195.292109
-52.035881,1,1198.327184
-57.161825,2,1201.463243
-51.223938,1,1204.485707
-175.98753,250,1235.192393
-92.498562,222,1259.96233
-203.571761,48,1268.227532
372.264192,250,1298.850582
32.887774,250,1326.668473
234.138909,183,1346.997799
167.773189,173,1366.237597
-39.728881,51,1374.838669
-53.577431,1,1377.861934
310.104515,239,1407.210948
-272.848994,141,1422.881118
-114.189703,19,1427.899837
-176.081606,250,1458.51235
330.424149,250,1486.018658
-240.187695,250,1513.549152
-84.016065,91,1523.585106
166.932216,198,1548.280097
-86.092299,14,1552.743469
117.053689,108,1567.553452
-146.031253,65,1577.679246
-54.128342,1,1580.714067
-102.181952,26,1586.491845
-143.140155,28,1592.447676
-45.684471,9,1596.363307
-14.077492,17,1601.196823
95.878181,186,1624.700846
236.502973,165,1645.772643
-49.946606,1,1648.802547
114.056741,179,1671.402665
-53.045629,29,1677.505843
364.799465,250,1707.945322
145.356574,250,1735.491413
137.709528,245,1762.524659
-129.346925,23,1767.97068
100.63859,97,1781.569538
102.405125,152,1801.244832
-53.891655,1,1804.289004
78.552552,185,1827.697222
119.961433,250,1858.149362
158.601776,93,1868.439198
199.14534,1,1868.630357
-586.947701,250,1896.164993
-405.6403,250,1923.710246
347.935763,180,1943.599016
-52.2775,1,1946.644895
197.429169,1,1949.692908
332.138775,250,1977.28002
-96.786693,250,2004.892288
406.027328,250,2032.505651
-116.982038,48,2037.857206
-46.752714,8,2041.653981
-36.084703,21,2046.918209
-28.262521,250,2077.339646
364.570124,240,2103.933633
147.549864,250,2131.537069
305.616933,110,2143.795671
-57.08365,11,2145.071089
130.372669,173,2167.043875
428.516735,152,2186.664554
-101.754791,99,2197.68225
-11.779249,56,2206.731834
-178.288092,57,2215.936903
-62.197474,14,2220.390008
-80.425696,16,2225.067249
362.405755,137,2243.044068
-50.632809,1,2246.069254
239.028625,109,2260.987982
10.841851,250,2291.430011
155.57717,223,2316.04857
-36.888913,36,2322.940288
488.212922,210,2348.968084
-533.958612,250,2376.556027
86.899255,250,2404.212644
-189.341965,37,2408.366955
-110.389968,25,2414.043467
-117.335624,28,2420.051589
-83.891769,12,2424.30757
-7.369829,60,2433.848608
-66.327506,20,2438.962743
146.011674,250,2469.520843
165.446154,250,2497.052485
-51.153804,25,2499.864191
32.340392,250,2530.24318
-74.962024,231,2555.717297
409.220181,250,2583.334268
26.68717,148,2599.783527
-50.988045,1,2602.831151
-48.680336,1,2605.870979
-53.364548,1,2608.904228
-54.0246,5,2612.363437
-51.839069,1,2615.399473
144.837188,52,2624.020048
295.670913,114,2636.627601
175.721471,104,2648.167222
-421.328625,250,2678.589354
155.699027,250,2706.13007
516.338886,148,2722.492242
169.738883,85,2731.918857
-73.94685,5,2732.524405
-51.516659,1,2735.574436
-54.373802,1,2738.609168
-54.230026,1,2741.632352
-51.86684,1,2744.639002
-52.432411,1,2747.652349
-49.612965,1,2750.654264
-51.413246,1,2753.667916
138.993135,116,2769.376338
-143.797171,29,2775.497169
-80.109554,13,2779.854439
-107.226174,37,2786.851394
-49.056721,1,2789.904368
-50.021725,1,2792.947097
-48.124704,6,2796.527311
-52.121567,1,2799.553761
-54.293671,1,2802.585634
115.409329,120,2818.743914
-50.710808,1,2821.758716
296.157702,250,2852.27338
383.895445,250,2879.897303
306.558655,191,2900.965878
-102.347974,19,2905.982467
-86.346582,19,2910.979708
330.815523,44,2918.724217
32.679747,68,2926.292002
