#{"t_start": 1780462071.1563911, "env_id": "None"}
r,l,t
-465.387721,103,12.511161
-83.055883,15,17.070845
-71.043974,19,22.082534
-120.295653,30,28.293551
-56.90004,5,31.78899
-311.905732,141,50.192829
-413.285179,90,63.013569
-53.200264,1,66.043552
-53.202271,1,69.072874
-184.982247,37,76.088757
-258.731489,250,106.449243
-709.160003,250,134.022559
-25.803607,39,138.393411
-391.980372,250,168.853509
-195.808149,250,196.439289
154.431846,29,199.692822
-499.78845,250,227.314577
-848.634918,250,254.898605
-76.984635,170,273.657469
-49.82539,1,276.688023
55.310737,250,307.201102
-424.314181,250,334.812675
120.369849,103,346.228949
-234.141791,250,373.851232
253.857477,246,400.903686
-50.66909,1,403.938709
-92.259405,222,431.236295
-75.899294,12,435.459952
172.710257,157,455.630448
-197.503946,250,483.321364
-444.159818,250,510.922898
-273.355227,250,538.575151
51.127946,117,551.551953
205.050808,174,573.618962
159.407921,59,583.034858
64.206111,128,597.19876
213.093992,101,611.25781
-39.306423,55,617.358773
-51.573951,250,647.762208
121.86928,90,657.724529
-28.588186,52,666.402119
-333.583623,250,696.90204
-792.03994,250,724.463915
-358.77426,250,752.044984
-135.903629,250,779.626215
-424.381483,250,807.195632
77.43811,173,826.302704
-134.066138,250,853.908785
-344.874389,250,881.483011
30.589843,47,886.694127
-42.527972,14,891.161044
262.339511,165,912.231009
-146.40064,250,942.687978
80.150341,250,970.216319
-73.159205,250,997.813259
-77.463666,26,1000.733109
152.193904,210,1026.809497
-70.395108,26,1032.585024
16.939612,250,1062.995539
-271.275675,62,1069.861476
-63.951664,161,1090.576795
-68.028891,20,1095.703942
-470.836348,250,1126.163692
40.984013,53,1132.076687
168.585808,250,1162.5815
213.289482,162,1180.508197
-53.374012,1,1183.52116
-431.930543,250,1214.021105
-406.739701,250,1241.599246
264.737266,202,1263.932741
-107.115444,250,1291.486357
305.675128,126,1305.427273
223.512546,25,1308.262661
-299.692603,185,1328.686521
-58.089532,192,1352.736685
-667.134264,250,1383.181896
-559.191874,250,1410.723327
-351.256938,194,1432.194482
-54.164188,1,1435.259465
-5.858708,152,1454.921141
-53.832237,1,1457.947884
112.932549,164,1478.972375
-107.079099,250,1509.365053
-130.457471,250,1536.917233
229.63356,250,1564.432782
-25.903228,175,1583.718846
-54.501703,5,1587.164465
-105.51508,33,1593.684405
-50.756523,1,1596.694311
-117.46919,34,1603.369403
-78.812786,250,1633.79766
-62.321338,96,1644.398329
-53.437572,1,1647.408724
-202.765785,250,1677.86718
-314.61139,91,1687.925511
-51.763355,1,1690.985196
-179.576783,250,1721.458401
55.395622,217,1745.403068
-52.626423,1,1748.411392
-53.510071,1,1751.446002
40.078801,250,1781.865909
27.626632,108,1793.815968
85.119421,250,1824.281343
-125.297601,115,1837.081716
312.805889,250,1867.536379
196.820511,1,1867.689385
-92.213736,76,1876.163018
-70.754622,5,1879.627205
-52.372902,2,1882.761034
245.584026,176,1905.078326
-346.562531,250,1932.625545
96.096436,131,1947.13542
3.84901,101,1961.174585
196.705978,1,1964.197573
-59.853029,4,1964.687027
-65.720314,4,1968.083648
-53.5723,1,1971.159034
-88.138664,13,1975.640133
43.870212,134,1993.373885
-53.889091,1,1996.420439
119.534259,76,2007.708339
-53.917671,1,2010.760507
-31.645026,66,2021.243173
-53.169815,1,2024.306467
162.293416,250,2054.84208
-45.100573,194,2076.255296
199.5433,17,2081.059392
-246.612354,250,2108.601891
-403.818734,250,2136.144055
-207.622794,185,2156.57827
-211.418662,127,2173.421695
-53.892117,1,2176.462963
-53.472031,1,2179.486135
-53.917751,1,2182.503224
-53.210491,1,2185.531872
-52.49221,1,2188.539902
-53.738926,1,2191.558538
-49.845852,1,2194.58577
-52.052475,1,2197.620252
-54.056801,1,2200.65076
-50.622166,1,2203.668273
-54.797417,1,2206.673032
-63.152951,3,2209.92167
-53.520107,1,2212.958033
-53.148838,1,2215.984408
50.425886,80,2227.729765
-351.25895,250,2258.128888
-78.300642,15,2262.699296
-71.492806,126,2279.39076
-64.166383,6,2282.987541
-69.066596,29,2289.104839
-59.687552,26,2294.885518
-65.664968,12,2299.105414
-48.143073,9,2302.99848
18.649646,250,2333.362602
-120.837287,185,2353.78795
121.903727,98,2367.52469
87.802116,142,2383.208013
137.128684,250,2413.58392
-86.40491,21,2415.944018
262.592783,100,2429.840605
-43.765557,65,2437.069217
-52.21504,2,2440.193413
-62.135958,139,2458.396472
45.51856,94,2471.648611
-33.021693,31,2477.970293
-17.275935,250,2508.422276
293.785688,234,2534.282331
4.752172,157,2551.635222
379.135373,250,2582.084626
283.537717,202,2604.425046
194.564743,1,2604.599881
-180.380106,239,2630.953239
-179.614461,250,2661.419988
-89.443688,45,2666.42458
-71.747479,17,2671.216355
301.825435,58,2680.482559
469.795145,250,2708.086208
42.921229,250,2735.722106
185.166175,250,2763.298306
132.157585,217,2787.183403
27.222868,250,2814.807789
-293.214937,250,2842.42426
158.428886,102,2853.695104
156.848699,191,2874.734781
-239.563183,48,2882.897233
-50.891651,1,2885.901491
-50.631607,1,2888.934586
-239.73106,79,2900.505862
213.673154,250,2930.913844
-5.374937,108,2942.84827
113.131478,149,2962.110037
192.601628,250,2992.542829
-139.847248,20,2994.800747
-223.857646,250,3025.187613
-82.028901,250,3052.798212
-15.73678,137,3067.915413
32.191174,250,3098.373166
-257.028493,53,3104.259934
-52.981449,1,3107.28491
245.552535,122,3123.577406
-1.174771,42,3128.220876
-71.013894,5,3131.705665
-75.060336,23,3137.174886
297.136367,172,3158.989877
-183.851517,38,3163.224173
-54.242558,1,3166.274128
262.925989,195,3190.675398
-59.921163,3,3191.0559
391.800368,250,3221.509863
199.352432,1,3221.694452
-67.670255,210,3244.836397
-38.351192,250,3275.244072
136.822511,222,3299.708513
-478.191055,189,3323.387841
117.256002,250,3353.857591
524.275047,222,3378.382545
252.778319,250,3405.943593
155.066719,124,3419.669898
453.26142,250,3447.234932
205.427817,94,3457.650636
137.9173,109,3469.649254
169.064649,41,3477.076178
-136.704879,250,3504.657572
111.069435,250,3532.221001
254.352509,133,3546.920133
-715.666615,250,3574.45725
59.053157,250,3602.010887
147.339161,250,3629.570842
312.389838,61,3636.389993
182.95703,32,3639.95888
196.2092,250,3667.559283
-105.936697,250,3695.160431
-236.525363,250,3722.667261
-53.338127,113,3735.126246
-61.934777,94,3748.410642
104.294721,88,3761.01122
-64.675498,16,3765.674815
-53.064009,20,3770.778702
-68.67472,29,3776.867648
-60.202007,5,3780.32749
68.119976,185,3803.605849
-54.29488,1,3806.651545
-52.943253,1,3809.651878
196.158325,1,3812.699143
235.493571,250,3840.226989
107.445684,135,3855.18962
-137.788383,20,3857.468706
-56.123538,3,3860.701201
113.003716,207,3886.41081
-75.87411,12,3890.620447
-81.450395,7,3894.292873
-51.665623,1,3897.329749
-514.029695,250,3927.759533
-382.456039,222,3952.172287
-729.898577,250,3982.611103
-134.378898,250,4010.076434
-228.642431,168,4028.614678
283.373786,124,4045.233195
271.552727,64,4052.356134
315.683985,250,4079.988237
-42.240468,91,4090.032434
-57.783161,20,4095.125705
-50.251785,1,4098.154324
-68.179485,5,4101.619244
