#{"t_start": 1780236466.064216, "env_id": "None"}
r,l,t
-6614.147554,1639,29.352552
346.065338,1,31.882788
-723.192247,203,37.840274
253.038483,1,40.413729
217.320785,49,43.819535
249.652832,1,46.398635
228.761414,1,48.968227
-86.606245,41,52.186227
59.263901,1,54.732058
60.215927,1,57.299961
98.215532,15,60.122989
428.464966,1,62.668566
98.804702,11,65.409845
-321.232476,151,70.524688
393.599945,1,73.098703
44.718853,83,77.093202
261.467163,1,79.644951
103.657394,1,82.190573
215.79245,1,84.752203
88.420545,50,88.146504
-9098.50071,2242,128.594998
19.449246,85,132.549693
-868.033226,349,140.969323
-370.979669,78,144.838465
277.76413,1,147.396979
199.317139,1,149.973263
192.783051,1,152.515975
243.194519,1,155.083137
285.660339,1,157.620318
210.410339,1,160.202079
-231.808109,83,164.187887
96.12495,72,167.937357
-4.477067,94,172.100845
-425.399345,193,177.937964
96.869827,11,180.676485
-381.23434,145,185.693612
164.297607,1,188.244604
-290.476488,95,192.381253
-876.442871,208,198.457706
73.476076,96,202.6216
-390.240273,145,207.609532
247.141235,1,210.157775
-53.051406,23,213.08407
-244.863985,96,217.237185
267.927633,11,219.967601
227.418216,10,222.682008
-474.110741,179,228.276839
-1509.657258,496,239.237664
76.023288,85,243.202034
-301.215815,98,247.394069
248.850555,1,249.95731
139.44841,1,252.52048
155.360657,1,255.073835
160.680481,1,257.658337
262.420288,1,260.233069
270.911992,62,263.789708
177.897753,67,267.455266
-170.603376,47,270.804566
110.212936,1,273.378819
217.701019,1,275.967805
192.730237,3,278.55622
245.78595,1,281.134916
257.62146,1,283.71067
116.29348,2,286.278932
334.998329,22,289.206
13.818089,61,292.765722
356.013214,1,295.329121
170.169819,10,298.047707
228.482605,1,300.605112
83.570816,1,303.150358
-132.071126,105,307.474593
-910.311326,311,315.328978
-531.05058,197,321.190504
220.393005,1,323.780038
-89.948708,88,327.811504
-955.849241,311,335.619592
219.544116,5,338.250075
-104.332071,84,342.220645
-480.378419,168,347.637683
17.159535,18,350.476014
-352.734488,180,356.09206
406.479553,1,358.628943
117.355062,61,362.262269
21.741122,46,365.605844
101.68029,53,369.060119
-280.802708,212,375.186911
176.468018,1,377.716572
93.4152,57,381.226488
-1294.321107,547,392.970916
-374.740748,101,397.194877
318.193695,1,399.761634
201.07114,9,402.463751
-14.927553,160,407.697777
190.508118,1,410.260441
221.432749,13,413.018466
383.145844,1,415.609616
146.357107,4,418.242379
293.237928,16,421.062913
130.522565,22,423.970601
-18.956526,19,426.804972
-932.183136,329,434.890038
241.021793,16,437.706779
119.304379,46,441.0416
-104.325969,50,444.44093
53.722745,4,447.05059
211.997284,1,449.614219
300.251282,1,452.194865
20.160606,64,455.829666
25.134225,124,460.436365
251.18869,1,463.011648
81.279886,41,466.255587
-38.271334,109,470.609389
-161.209476,53,474.063312
-483.8359,154,479.170848
-440.758119,178,484.695732
281.88458,15,487.504601
-69.490016,183,493.139376
317.18998,17,495.951944
-232.403961,161,501.187755
41.82576,28,504.227709
-606.489786,233,510.667403
285.586304,1,513.207811
277.200073,1,515.783109
158.910921,28,518.813181
0.45681,1,521.373094
194.655548,1,523.941811
442.282104,1,526.503726
386.893951,1,529.066022
198.075684,1,531.63637
358.601227,1,534.203609
150.172302,1,536.77413
184.399048,1,539.325464
-237.431932,108,543.656031
-210.549263,58,547.168496
135.34874,1,549.730875
201.90387,1,552.28977
252.932343,1,554.865116
277.68335,1,557.411375
94.881675,58,560.936768
82.100043,45,564.236265
109.216364,111,568.638229
-171.276181,84,572.594439
58.614822,1,575.152364
243.037079,1,577.702754
63.93364,1,580.282534
180.014237,34,583.394731
432.463318,1,585.961342
-66.461303,60,589.510969
72.017861,75,593.311898
415.298889,1,595.883783
-69.065702,187,601.593487
303.008179,1,604.14283
-221.819249,103,608.447956
54.200674,82,612.3656
43.09622,181,617.951415
154.686874,1,620.519052
-24.528168,64,624.150816
375.585388,1,626.71945
46.517229,49,630.094213
-96.990046,106,634.421098
333.50946,1,637.006483
431.752563,1,639.56074
221.58609,1,642.140121
394.177307,1,644.701349
56.008756,38,647.895727
302.746704,1,650.463089
386.411102,1,653.042953
-51.709262,75,656.8201
421.327209,1,659.400349
257.740692,1,661.963917
-3.317378,111,666.355882
339.390411,1,668.911908
283.936432,1,671.475146
-279.714632,141,676.374362
108.788727,5,679.015793
460.630005,1,681.592494
-33.341821,14,684.389787
57.979659,4,687.009818
35.587345,9,689.702394
286.160241,11,692.433883
5.635463,25,695.385611
86.64795,48,698.705087
29.938876,17,701.529517
39.582375,40,704.762172
135.533185,10,707.490968
-10.570385,46,710.808372
117.914948,1,713.37014
243.649795,14,716.167274
201.280762,1,718.736962
179.718689,1,721.311824
294.315674,1,723.848157
237.213287,1,726.424678
-70.027671,83,730.360388
378.361664,1,732.921097
123.304519,97,737.100084
253.611511,1,739.676827
266.124512,1,742.231482
262.594482,1,744.796276
-56.794361,12,747.544843
72.110977,1,750.120945
196.982391,1,752.685668
-223.64605,99,756.879277
-33.783644,16,759.707346
42.249184,53,763.142464
289.241753,2,765.718215
276.352539,1,768.294983
220.588035,11,771.022498
232.749634,1,773.583157
160.433531,28,776.605319
-190.366332,249,783.45623
255.270691,1,786.019324
269.928927,6,788.666668
384.295563,1,791.227853
225.904821,7,793.893078
35.170761,81,797.820801
-31.868923,62,801.469178
-25.770331,94,805.635722
287.060303,1,808.207861
138.375122,1,810.78911
35.987217,54,814.237371
263.36853,1,816.830438
84.521744,1,819.398868
158.85434,1,821.958984
131.974877,22,824.937992
186.653992,1,827.496312
203.932061,11,830.225162
423.677734,1,832.794364
253.772919,1,835.370408
35.737026,84,839.365358
-79.740484,60,842.939747
-10.232448,74,846.724871
277.317078,1,849.297401
206.162995,25,852.269117
42.175589,101,856.530801
50.397923,67,860.187709
-34.775033,108,864.567416
-5.684775,6,867.209262
-123.521466,81,871.145708
-153.613732,103,875.47987
268.672333,1,878.051455
277.368317,1,880.604968
-582.167269,198,886.537717
318.257202,1,889.107039
25.711624,1,891.657221
303.308075,1,894.231846
201.840687,20,897.105413
111.626602,1,899.666971
225.258484,1,902.243304
-96.725392,44,905.52781
134.473251,1,908.080148
-337.044968,163,913.434443
-142.067647,71,917.18958
269.18161,1,919.754198
280.46637,1,922.285446
324.795807,1,924.850282
356.881232,19,927.724996
319.560028,1,930.299514
176.399567,1,932.881211
228.774536,1,935.460536
78.515167,1,938.022595
160.924286,1,940.611326
52.010229,7,943.283237
282.773712,1,945.839396
294.313538,1,948.383521
-97.288341,96,952.554484
142.105701,61,956.127506
-171.026255,60,959.703575
-47.787262,67,963.399549
41.01124,78,967.301752
-34.108584,58,970.869717
238.668518,1,973.398687
-21.724532,72,977.184332
332.033112,1,979.730266
434.143311,1,982.294268
39.979806,85,986.28963
-295.511862,101,990.61801
-75.007472,76,994.506727
-289.874376,85,998.4713
-244.150242,117,1002.990874
-816.225414,307,1010.783245
-85.954333,36,1013.95549
-232.611441,54,1017.441072
365.484253,1,1020.013887
26.603378,1,1022.572358
140.09456,66,1026.237722
100.542504,92,1030.333618
-769.760414,301,1038.02512
-1758.379909,486,1048.816343
121.615954,48,1052.17183
-954.38042,272,1059.259177
-429.335574,193,1065.03124
-4136.525312,1000,1084.441967
-232.966258,45,1087.783097
-80.773323,59,1091.345851
222.771423,1,1093.885279
272.401398,1,1096.448717
382.0047,1,1099.02578
213.614777,1,1101.582068
152.032745,1,1104.165266
306.772247,1,1106.757123
284.377655,1,1109.312539
266.520386,1,1111.898035
279.51358,1,1114.476629
320.029961,2,1117.05422
-346.518978,78,1120.955783
92.11496,1,1123.517701
-1921.421561,584,1136.103394
-116.181006,128,1140.832442
-165.996875,62,1144.467798
86.838282,64,1148.130658
334.630798,1,1150.698856
-150.365349,45,1154.009371
246.605194,1,1156.580056
155.009262,1,1159.153475
173.212097,1,1161.721775
440.518188,1,1164.277605
165.780579,1,1166.857126
-6.058105,1,1169.450121
170.355319,97,1173.706764
362.035919,1,1176.278859
-2483.027324,842,1193.577391
-2589.94811,1158,1216.246876
11.220215,1,1218.810897
-2941.493993,673,1232.971446
-336.887156,79,1236.894163
208.169373,1,1239.478443
-99.657043,75,1243.283594
3.489761,1,1245.871224
-90.745067,123,1250.572578
197.354767,1,1253.15665
205.687603,30,1256.22117
-913.297861,262,1263.270853
139.458405,1,1265.831391
171.695068,1,1268.398432
279.844238,1,1270.975471
24.907229,40,1274.194439
24.576309,101,1278.447098
-58.813751,89,1282.518866
180.874172,58,1286.065375
16.902109,93,1290.197785
-60.249071,78,1294.052049
155.35878,1,1296.632406
171.122772,1,1299.20182
164.114349,1,1301.764819
16.375716,59,1305.29982
-108.505526,77,1309.17335
111.676331,1,1311.755322
56.843288,60,1315.333675
262.060272,1,1317.885433
143.357025,1,1320.43977
-136.550179,61,1323.964749
345.420746,1,1326.527524
226.197754,1,1329.090052
238.91806,1,1331.649114
358.540558,1,1334.209391
-110.15805,98,1338.387953
-80.791326,59,1341.935325
-10426.522654,2074,1379.602396
467.357666,1,1382.15724
75.195447,50,1385.529173
-283.429635,136,1390.399535
284.977283,43,1393.648767
453.505188,1,1396.203655
190.862721,72,1399.951718
170.478351,84,1403.924468
-133.627394,153,1409.050124
416.388733,1,1411.644031
181.917137,16,1414.4632
529.281128,1,1417.032683
381.810791,34,1420.151541
-142.277569,102,1424.423001
-65.350936,115,1428.887693
270.472753,44,1432.151768
410.445381,22,1435.063429
175.650298,78,1438.935668
364.20525,24,1441.894269
-12174.951137,2867,1493.048994
592.339958,10,1495.779706
170.422965,118,1500.339906
431.191569,83,1504.286636
401.45432,12,1507.032661
487.649583,89,1511.099423
418.043688,61,1514.657315
594.20819,11,1517.399918
509.011536,1,1519.966123
448.999252,50,1523.397728
489.663553,13,1526.152683
421.482376,149,1531.218948
284.598711,93,1535.299535
318.678793,13,1538.051514
328.258256,65,1541.696531
366.044008,25,1544.672853
636.411133,1,1547.225124
-87.697568,251,1554.052197
402.572845,1,1556.609934
273.192947,83,1560.572183
